                                          AUGUST 1999 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Fr 28 12:20:01 06AR54 12AQ25 13AR05 00PI17 14CP37 08LE09 23GE11 00PI54 12AQ33 19SG57 02GE28 
Sa 29 12:23:57 07AR53 25AQ04 15AR07 01PI29 15CP15 08LE07 23GE14 00PI57 12AQ35 19SG56 02GE25 
Su 30 12:27:54 08AR53 07PI32 17AR09 02PI41 15CP52 08LE06 23GE18 00PI60 12AQ36 19SG56 02GE22 
Mo 31 12:31:50 09AR52 19PI50 19AR10 03PI53 16CP30 08LE05 23GE22 01PI03 12AQ37 19SG56 02GE19 
                                         APRIL 2003 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Tu 01 12:35:47 10AR51 01AR58 21AR10 05PI05 17CP07 08LE05 23GE26 01PI05 12AQ39 19SG56 02GE16 
We 02 12:39:44 11AR50 13AR59 23AR08 06PI17 17CP44 08LE04 23GE30 01PI08 12AQ40 19SG55 02GE13 
Th 03 12:43:40 12AR50 25AR53 25AR05 07PI29 18CP22 08LE04 23GE34 01PI11 12AQ42 19SG55 02GE09 
Fr 04 12:47:37 13AR49 07TA42 27AR00 08PI41 18CP59 08LE04 23GE38 01PI14 12AQ43 19SG55 02GE06 
Sa 05 12:51:33 14AR48 19TA29 28AR53 09PI54 19CP36 08LE04 23GE42 01PI17 12AQ44 19SG54 02GE03 
Su 06 12:55:30 15AR47 01GE16 00TA42 11PI06 20CP14 08LE04 23GE47 01PI19 12AQ46 19SG54 01GE60 
Mo 07 12:59:26 16AR46 13GE08 02TA29 12PI18 20CP51 08LE04 23GE51 01PI22 12AQ47 19SG53 01GE57 
Tu 08 13:03:23 17AR45 25GE08 04TA12 13PI30 21CP28 08LE05 23GE56 01PI25 12AQ48 19SG53 01GE53 
We 09 13:07:19 18AR44 07CN21 05TA50 14PI42 22CP05 08LE06 24GE00 01PI27 12AQ49 19SG52 01GE50 
Th 10 13:11:16 19AR43 19CN52 07TA25 15PI55 22CP42 08LE07 24GE05 01PI30 12AQ50 19SG52 01GE47 
Fr 11 13:15:13 20AR42 02LE46 08TA55 17PI07 23CP19 08LE08 24GE10 01PI32 12AQ51 19SG51 01GE44 
Sa 12 13:19:09 21AR41 16LE06 10TA21 18PI19 23CP55 08LE10 24GE15 01PI35 12AQ53 19SG51 01GE41 
Su 13 13:23:06 22AR40 29LE55 11TA41 19PI32 24CP32 08LE11 24GE20 01PI37 12AQ54 19SG50 01GE38 
Mo 14 13:27:02 23AR38 14VI13 12TA56 20PI44 25CP09 08LE13 24GE25 01PI40 12AQ55 19SG49 01GE34 
Tu 15 13:30:59 24AR37 28VI56 14TA06 21PI56 25CP46 08LE15 24GE30 01PI42 12AQ56 19SG49 01GE31 
We 16 13:34:55 25AR36 13LI58 15TA10 23PI09 26CP22 08LE17 24GE35 01PI45 12AQ57 19SG48 01GE28 
Th 17 13:38:52 26AR35 29LI11 16TA09 24PI21 26CP59 08LE19 24GE40 01PI47 12AQ58 19SG47 01GE25 
Fr 18 13:42:48 27AR33 14SC24 17TA02 25PI33 27CP35 08LE22 24GE46 01PI49 12AQ59 19SG46 01GE22 
Sa 19 13:46:45 28AR32 29SC27 17TA49 26PI46 28CP12 08LE24 24GE51 01PI51 12AQ59 19SG45 01GE19 
Su 20 13:50:42 29AR31 14SG13 18TA30 27PI58 28CP48 08LE27 24GE56 01PI54 13AQ00 19SG45 01GE15 
Mo 21 13:54:38 00TA29 28SG37 19TA05 29PI11 29CP24 08LE30 25GE02 01PI56 13AQ01 19SG44 01GE12 
Tu 22 13:58:35 01TA28 12CP35 19TA35 00AR23 00AQ00 08LE33 25GE08 01PI58 13AQ02 19SG43 01GE09 
We 23 14:02:31 02TA26 26CP08 19TA58 01AR36 00AQ36 08LE37 25GE13 02PI00 13AQ03 19SG42 01GE06 
Th 24 14:06:28 03TA25 09AQ18 20TA15 02AR48 01AQ12 08LE40 25GE19 02PI02 13AQ03 19SG41 01GE03 
Fr 25 14:10:24 04TA23 22AQ07 20TA27 04AR01 01AQ48 08LE44 25GE25 02PI04 13AQ04 19SG40 00GE59 
Sa 26 14:14:21 05TA22 04PI38 20TA32 05AR13 02AQ24 08LE48 25GE31 02PI06 13AQ05 19SG39 00GE56 
Su 27 14:18:17 06TA20 16PI56 20TA32 06AR26 02AQ60 08LE52 25GE37 02PI08 13AQ06 19SG38 00GE53 
Mo 28 14:22:14 07TA18 29PI02 20TA27 07AR38 03AQ36 08LE56 25GE43 02PI10 13AQ06 19SG37 00GE50 
Tu 29 14:26:11 08TA17 11AR00 20TA16 08AR51 04AQ11 09LE01 25GE49 02PI12 13AQ07 19SG36 00GE47 
We 30 14:30:07 09TA15 22AR53 20TA01 10AR04 04AQ47 09LE05 25GE55 02PI14 13AQ07 19SG35 00GE44 
                                          MAY 2003 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Th 01 14:34:04 10TA13 04TA42 19TA41 11AR16 05AQ22 09LE10 26GE01 02PI16 13AQ08 19SG34 00GE40 
Fr 02 14:38:00 11TA12 16TA29 19TA16 12AR29 05AQ57 09LE15 26GE07 02PI17 13AQ08 19SG32 00GE37 
Sa 03 14:41:57 12TA10 28TA17 18TA48 13AR42 06AQ32 09LE20 26GE14 02PI19 13AQ09 19SG31 00GE34 
Su 04 14:45:53 13TA08 10GE09 18TA17 14AR54 07AQ07 09LE25 26GE20 02PI21 13AQ09 19SG30 00GE31 
Mo 05 14:49:50 14TA06 22GE06 17TA44 16AR07 07AQ42 09LE30 26GE26 02PI22 13AQ09 19SG29 00GE28 
Tu 06 14:53:46 15TA04 04CN12 17TA08 17AR20 08AQ17 09LE36 26GE33 02PI24 13AQ10 19SG28 00GE25 
We 07 14:57:43 16TA02 16CN29 16TA32 18AR32 08AQ52 09LE41 26GE39 02PI25 13AQ10 19SG26 00GE21 
Th 08 15:01:40 17TA01 29CN03 15TA54 19AR45 09AQ26 09LE47 26GE46 02PI27 13AQ10 19SG25 00GE18 
Fr 09 15:05:36 17TA59 11LE56 15TA17 20AR58 10AQ01 09LE53 26GE53 02PI28 13AQ11 19SG24 00GE15 
Sa 10 15:09:33 18TA57 25LE11 14TA41 22AR10 10AQ35 09LE59 26GE59 02PI30 13AQ11 19SG23 00GE12 
Su 11 15:13:29 19TA55 08VI52 14TA06 23AR23 11AQ09 10LE05 27GE06 02PI31 13AQ11 19SG21 00GE09 
Mo 12 15:17:26 20TA53 22VI58 13TA32 24AR36 11AQ43 10LE12 27GE13 02PI32 13AQ11 19SG20 00GE05 
Tu 13 15:21:22 21TA51 07LI28 13TA02 25AR48 12AQ17 10LE18 27GE20 02PI34 13AQ11 19SG19 00GE02 
We 14 15:25:19 22TA48 22LI19 12TA34 27AR01 12AQ51 10LE25 27GE27 02PI35 13AQ11 19SG17 29TA59 
Th 15 15:29:15 23TA46 07SC25 12TA09 28AR14 13AQ24 10LE32 27GE34 02PI36 13AQ11 19SG16 29TA56 
Fr 16 15:33:12 24TA44 22SC36 11TA49 29AR27 13AQ58 10LE39 27GE40 02PI37 13AQ11 19SG14 29TA53 
Sa 17 15:37:09 25TA42 07SG43 11TA32 00TA39 14AQ31 10LE46 27GE47 02PI38 13AQ11 19SG13 29TA50 
Su 18 15:41:05 26TA40 22SG37 11TA19 01TA52 15AQ04 10LE53 27GE55 02PI39 13AQ11 19SG12 29TA46 
Mo 19 15:45:02 27TA38 07CP12 11TA11 03TA05 15AQ37 11LE00 28GE02 02PI40 13AQ11 19SG10 29TA43 
Tu 20 15:48:58 28TA35 21CP21 11TA08 04TA18 16AQ10 11LE08 28GE09 02PI41 13AQ11 19SG09 29TA40 
We 21 15:52:55 29TA33 05AQ04 11TA08 05TA31 16AQ43 11LE15 28GE16 02PI42 13AQ11 19SG07 29TA37 
Th 22 15:56:51 00GE31 18AQ21 11TA14 06TA43 17AQ15 11LE23 28GE23 02PI43 13AQ11 19SG06 29TA34 
Fr 23 16:00:48 01GE28 01PI13 11TA24 07TA56 17AQ47 11LE31 28GE30 02PI43 13AQ11 19SG04 29TA31 
Sa 24 16:04:44 02GE26 13PI44 11TA38 09TA09 18AQ20 11LE39 28GE38 02PI44 13AQ10 19SG03 29TA27 
Su 25 16:08:41 03GE24 25PI58 11TA57 10TA22 18AQ52 11LE47 28GE45 02PI45 13AQ10 19SG01 29TA24 
Mo 26 16:12:38 04GE21 08AR00 12TA20 11TA35 19AQ23 11LE55 28GE52 02PI45 13AQ10 18SG60 29TA21 
Tu 27 16:16:34 05GE19 19AR53 12TA48 12TA48 19AQ55 12LE03 28GE60 02PI46 13AQ09 18SG58 29TA18 
We 28 16:20:31 06GE17 01TA41 13TA20 14TA01 20AQ26 12LE12 29GE07 02PI47 13AQ09 18SG57 29TA15 
Th 29 16:24:27 07GE14 13TA28 13TA55 15TA14 20AQ57 12LE20 29GE14 02PI47 13AQ09 18SG55 29TA11 
Fr 30 16:28:24 08GE12 25TA17 14TA35 16TA26 21AQ28 12LE29 29GE22 02PI47 13AQ08 18SG53 29TA08 
Sa 31 16:32:20 09GE09 07GE10 15TA19 17TA39 21AQ59 12LE38 29GE29 02PI48 13AQ08 18SG52 29TA05 
                                          JUNE 2003 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Su 01 16:36:17 10GE07 19GE09 16TA06 18TA52 22AQ29 12LE47 29GE37 02PI48 13AQ07 18SG50 29TA02 
Mo 02 16:40:13 11GE04 01CN17 16TA57 20TA05 22AQ59 12LE56 29GE44 02PI48 13AQ07 18SG49 28TA59 
Tu 03 16:44:10 12GE02 13CN35 17TA51 21TA18 23AQ29 13LE05 29GE52 02PI49 13AQ06 18SG47 28TA56 
We 04 16:48:07 12GE59 26CN05 18TA49 22TA31 23AQ59 13LE14 29GE60 02PI49 13AQ06 18SG46 28TA52 
Th 05 16:52:03 13GE57 08LE49 19TA50 23TA44 24AQ28 13LE23 00CN07 02PI49 13AQ05 18SG44 28TA49 
Fr 06 16:55:60 14GE54 21LE48 20TA55 24TA57 24AQ57 13LE33 00CN15 02PI49 13AQ04 18SG42 28TA46 
Sa 07 16:59:56 15GE52 05VI06 22TA03 26TA10 25AQ26 13LE42 00CN22 02PI49 13AQ04 18SG41 28TA43 
Su 08 17:03:53 16GE49 18VI42 23TA14 27TA23 25AQ54 13LE52 00CN30 02PI49 13AQ03 18SG39 28TA40 
Mo 09 17:07:49 17GE47 02LI38 24TA28 28TA36 26AQ23 14LE02 00CN38 02PI49 13AQ02 18SG38 28TA37 
Tu 10 17:11:46 18GE44 16LI53 25TA45 29TA49 26AQ51 14LE11 00CN45 02PI49 13AQ02 18SG36 28TA33 
We 11 17:15:42 19GE41 01SC26 27TA05 01GE02 27AQ18 14LE21 00CN53 02PI49 13AQ01 18SG34 28TA30 
Th 12 17:19:39 20GE39 16SC12 28TA28 02GE15 27AQ46 14LE31 01CN01 02PI49 12AQ60 18SG33 28TA27 
Fr 13 17:23:36 21GE36 01SG06 29TA54 03GE28 28AQ13 14LE41 01CN09 02PI48 12AQ59 18SG31 28TA24 
Sa 14 17:27:32 22GE33 16SG01 01GE23 04GE41 28AQ39 14LE52 01CN16 02PI48 12AQ58 18SG30 28TA21 
Su 15 17:31:29 23GE31 00CP49 02GE55 05GE54 29AQ06 15LE02 01CN24 02PI48 12AQ57 18SG28 28TA17 
Mo 16 17:35:25 24GE28 15CP23 04GE30 07GE08 29AQ32 15LE12 01CN32 02PI47 12AQ56 18SG26 28TA14 
Tu 17 17:39:22 25GE25 29CP35 06GE08 08GE21 29AQ57 15LE23 01CN40 02PI47 12AQ56 18SG25 28TA11 
We 18 17:43:18 26GE22 13AQ23 07GE49 09GE34 00PI23 15LE33 01CN47 02PI46 12AQ55 18SG23 28TA08 
Th 19 17:47:15 27GE20 26AQ45 09GE32 10GE47 00PI48 15LE44 01CN55 02PI46 12AQ54 18SG22 28TA05 
Fr 20 17:51:11 28GE17 09PI41 11GE18 12GE00 01PI12 15LE54 02CN03 02PI45 12AQ53 18SG20 28TA02 
Sa 21 17:55:08 29GE14 22PI15 13GE07 13GE13 01PI36 16LE05 02CN11 02PI45 12AQ51 18SG19 27TA58 
Su 22 17:59:05 00CN11 04AR30 14GE59 14GE26 02PI00 16LE16 02CN19 02PI44 12AQ50 18SG17 27TA55 
Mo 23 18:03:01 01CN09 16AR31 16GE53 15GE40 02PI24 16LE27 02CN26 02PI43 12AQ49 18SG15 27TA52 
Tu 24 18:06:58 02CN06 28AR23 18GE50 16GE53 02PI46 16LE38 02CN34 02PI42 12AQ48 18SG14 27TA49 
We 25 18:10:54 03CN03 10TA11 20GE49 18GE06 03PI09 16LE49 02CN42 02PI42 12AQ47 18SG12 27TA46 
Th 26 18:14:51 04CN00 21TA59 22GE50 19GE19 03PI31 16LE60 02CN50 02PI41 12AQ46 18SG11 27TA43 
Fr 27 18:18:47 04CN58 03GE51 24GE53 20GE33 03PI53 17LE11 02CN58 02PI40 12AQ45 18SG09 27TA39 
Sa 28 18:22:44 05CN55 15GE51 26GE58 21GE46 04PI14 17LE22 03CN05 02PI39 12AQ44 18SG08 27TA36 
Su 29 18:26:40 06CN52 28GE01 29GE05 22GE59 04PI34 17LE34 03CN13 02PI38 12AQ42 18SG06 27TA33 
Mo 30 18:30:37 07CN49 10CN23 01CN13 24GE13 04PI54 17LE45 03CN21 02PI37 12AQ41 18SG05 27TA30 
                                          JULY 2003 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Tu 01 18:34:34 08CN47 22CN58 03CN22 25GE26 05PI14 17LE56 03CN29 02PI36 12AQ40 18SG03 27TA27 
We 02 18:38:30 09CN44 05LE46 05CN32 26GE39 05PI33 18LE08 03CN37 02PI35 12AQ38 18SG02 27TA23 
Th 03 18:42:27 10CN41 18LE49 07CN43 27GE53 05PI51 18LE20 03CN44 02PI34 12AQ37 18SG00 27TA20 
Fr 04 18:46:23 11CN38 02VI04 09CN53 29GE06 06PI09 18LE31 03CN52 02PI32 12AQ36 17SG59 27TA17 
Sa 05 18:50:20 12CN36 15VI32 12CN04 00CN19 06PI27 18LE43 03CN60 02PI31 12AQ35 17SG58 27TA14 
Su 06 18:54:16 13CN33 29VI13 14CN14 01CN33 06PI44 18LE55 04CN08 02PI30 12AQ33 17SG56 27TA11 
Mo 07 18:58:13 14CN30 13LI07 16CN24 02CN46 06PI60 19LE06 04CN15 02PI29 12AQ32 17SG55 27TA08 
Tu 08 19:02:09 15CN27 27LI12 18CN33 03CN60 07PI15 19LE18 04CN23 02PI27 12AQ30 17SG53 27TA04 
We 09 19:06:06 16CN24 11SC28 20CN40 05CN13 07PI31 19LE30 04CN31 02PI26 12AQ29 17SG52 27TA01 
Th 10 19:10:03 17CN22 25SC53 22CN47 06CN27 07PI45 19LE42 04CN38 02PI24 12AQ28 17SG51 26TA58 
Fr 11 19:13:59 18CN19 10SG24 24CN52 07CN40 07PI59 19LE54 04CN46 02PI23 12AQ26 17SG49 26TA55 
Sa 12 19:17:56 19CN16 24SG56 26CN56 08CN54 08PI12 20LE06 04CN54 02PI21 12AQ25 17SG48 26TA52 
Su 13 19:21:52 20CN13 09CP25 28CN59 10CN07 08PI25 20LE18 05CN01 02PI20 12AQ23 17SG47 26TA49 
Mo 14 19:25:49 21CN10 23CP44 00LE59 11CN21 08PI37 20LE31 05CN09 02PI18 12AQ22 17SG45 26TA45 
Tu 15 19:29:45 22CN08 07AQ47 02LE58 12CN34 08PI48 20LE43 05CN17 02PI17 12AQ20 17SG44 26TA42 
We 16 19:33:42 23CN05 21AQ29 04LE55 13CN48 08PI58 20LE55 05CN24 02PI15 12AQ19 17SG43 26TA39 
Th 17 19:37:38 24CN02 04PI49 06LE51 15CN01 09PI08 21LE07 05CN32 02PI13 12AQ17 17SG42 26TA36 
Fr 18 19:41:35 24CN59 17PI46 08LE44 16CN15 09PI17 21LE20 05CN39 02PI12 12AQ16 17SG41 26TA33 
Sa 19 19:45:32 25CN56 00AR20 10LE36 17CN29 09PI26 21LE32 05CN47 02PI10 12AQ14 17SG39 26TA29 
Su 20 19:49:28 26CN54 12AR36 12LE26 18CN42 09PI34 21LE45 05CN54 02PI08 12AQ13 17SG38 26TA26 
Mo 21 19:53:25 27CN51 24AR38 14LE14 19CN56 09PI40 21LE57 06CN02 02PI06 12AQ11 17SG37 26TA23 
Tu 22 19:57:21 28CN48 06TA30 16LE01 21CN10 09PI47 22LE10 06CN09 02PI04 12AQ09 17SG36 26TA20 
We 23 20:01:18 29CN45 18TA19 17LE45 22CN23 09PI52 22LE22 06CN17 02PI02 12AQ08 17SG35 26TA17 
Th 24 20:05:14 00LE43 00GE08 19LE28 23CN37 09PI57 22LE35 06CN24 02PI01 12AQ06 17SG34 26TA14 
Fr 25 20:09:11 01LE40 12GE04 21LE09 24CN51 10PI01 22LE47 06CN31 01PI59 12AQ05 17SG33 26TA10 
Sa 26 20:13:07 02LE37 24GE10 22LE48 26CN05 10PI04 22LE60 06CN39 01PI57 12AQ03 17SG32 26TA07 
Su 27 20:17:04 03LE35 06CN31 24LE25 27CN19 10PI06 23LE13 06CN46 01PI55 12AQ01 17SG31 26TA04 
Mo 28 20:21:01 04LE32 19CN07 26LE01 28CN32 10PI07 23LE25 06CN53 01PI53 11AQ60 17SG30 26TA01 
Tu 29 20:24:57 05LE29 02LE01 27LE35 29CN46 10PI08 23LE38 07CN00 01PI51 11AQ58 17SG29 25TA58 
We 30 20:28:54 06LE27 15LE11 29LE07 01LE00 10PI08 23LE51 07CN07 01PI48 11AQ57 17SG28 25TA55 
Th 31 20:32:50 07LE24 28LE36 00VI37 02LE14 10PI07 24LE04 07CN15 01PI46 11AQ55 17SG27 25TA51 
                                         AUGUST 2003 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Fr 01 20:36:47 08LE22 12VI15 02VI05 03LE28 10PI05 24LE16 07CN22 01PI44 11AQ53 17SG26 25TA48 
Sa 02 20:40:43 09LE19 26VI03 03VI32 04LE42 10PI03 24LE29 07CN29 01PI42 11AQ52 17SG25 25TA45 
Su 03 20:44:40 10LE16 09LI59 04VI56 05LE56 09PI59 24LE42 07CN36 01PI40 11AQ50 17SG25 25TA42 
Mo 04 20:48:36 11LE14 24LI00 06VI19 07LE10 09PI55 24LE55 07CN43 01PI38 11AQ48 17SG24 25TA39 
Tu 05 20:52:33 12LE11 08SC05 07VI40 08LE24 09PI50 25LE08 07CN50 01PI36 11AQ47 17SG23 25TA35 
We 06 20:56:30 13LE09 22SC13 08VI59 09LE38 09PI45 25LE21 07CN57 01PI33 11AQ45 17SG22 25TA32 
Th 07 21:00:26 14LE06 06SG22 10VI16 10LE52 09PI38 25LE34 08CN03 01PI31 11AQ44 17SG22 25TA29 
Fr 08 21:04:23 15LE04 20SG32 11VI30 12LE06 09PI31 25LE47 08CN10 01PI29 11AQ42 17SG21 25TA26 
Sa 09 21:08:19 16LE01 04CP40 12VI43 13LE20 09PI24 25LE60 08CN17 01PI27 11AQ40 17SG20 25TA23 
Su 10 21:12:16 16LE59 18CP44 13VI53 14LE34 09PI15 26LE13 08CN24 01PI24 11AQ39 17SG20 25TA20 
Mo 11 21:16:12 17LE56 02AQ39 15VI01 15LE48 09PI06 26LE26 08CN30 01PI22 11AQ37 17SG19 25TA16 
Tu 12 21:20:09 18LE54 16AQ22 16VI07 17LE02 08PI56 26LE39 08CN37 01PI20 11AQ35 17SG19 25TA13 
We 13 21:24:05 19LE51 29AQ49 17VI10 18LE16 08PI46 26LE52 08CN43 01PI17 11AQ34 17SG18 25TA10 
Th 14 21:28:02 20LE49 12PI58 18VI11 19LE30 08PI35 27LE05 08CN50 01PI15 11AQ32 17SG18 25TA07 
Fr 15 21:31:59 21LE47 25PI47 19VI09 20LE45 08PI23 27LE18 08CN56 01PI13 11AQ31 17SG17 25TA04 
Sa 16 21:35:55 22LE44 08AR18 20VI04 21LE59 08PI11 27LE31 09CN03 01PI10 11AQ29 17SG17 25TA01 
Su 17 21:39:52 23LE42 20AR32 20VI56 23LE13 07PI58 27LE44 09CN09 01PI08 11AQ27 17SG16 24TA57 
Mo 18 21:43:48 24LE40 02TA33 21VI45 24LE27 07PI45 27LE57 09CN15 01PI06 11AQ26 17SG16 24TA54 
Tu 19 21:47:45 25LE37 14TA24 22VI31 25LE41 07PI31 28LE10 09CN22 01PI03 11AQ24 17SG16 24TA51 
We 20 21:51:41 26LE35 26TA13 23VI13 26LE56 07PI17 28LE23 09CN28 01PI01 11AQ23 17SG15 24TA48 
Th 21 21:55:38 27LE33 08GE03 23VI52 28LE10 07PI02 28LE36 09CN34 00PI58 11AQ21 17SG15 24TA45 
Fr 22 21:59:34 28LE30 20GE00 24VI26 29LE24 06PI47 28LE49 09CN40 00PI56 11AQ20 17SG15 24TA41 
Sa 23 22:03:31 29LE28 02CN10 24VI57 00VI38 06PI32 29LE03 09CN46 00PI54 11AQ18 17SG15 24TA38 
Su 24 22:07:28 00VI26 14CN37 25VI23 01VI53 06PI17 29LE16 09CN52 00PI51 11AQ17 17SG14 24TA35 
Mo 25 22:11:24 01VI24 27CN23 25VI44 03VI07 06PI01 29LE29 09CN58 00PI49 11AQ15 17SG14 24TA32 
Tu 26 22:15:21 02VI22 10LE31 26VI01 04VI21 05PI45 29LE42 10CN04 00PI46 11AQ14 17SG14 24TA29 
We 27 22:19:17 03VI20 24LE01 26VI12 05VI36 05PI29 29LE55 10CN09 00PI44 11AQ12 17SG14 24TA26 
Th 28 22:23:14 04VI18 07VI50 26VI18 06VI50 05PI13 00VI08 10CN15 00PI42 11AQ11 17SG14 24TA22 
Fr 29 22:27:10 05VI16 21VI53 26VI19 08VI04 04PI57 00VI21 10CN21 00PI39 11AQ09 17SG14 24TA19 
Sa 30 22:31:07 06VI14 06LI07 26VI13 09VI19 04PI41 00VI34 10CN26 00PI37 11AQ08 17SG14 24TA16 
Su 31 22:35:03 07VI12 20LI26 26VI02 10VI33 04PI25 00VI47 10CN32 00PI35 11AQ06 17SG14 24TA13 
                                        SEPTEMBER 2003 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Mo 01 22:38:60 08VI10 04SC46 25VI44 11VI48 04PI10 01VI00 10CN37 00PI32 11AQ05 17SG14 24TA10 
Tu 02 22:42:57 09VI08 19SC02 25VI21 13VI02 03PI54 01VI13 10CN42 00PI30 11AQ03 17SG14 24TA06 
We 03 22:46:53 10VI06 03SG13 24VI51 14VI16 03PI39 01VI26 10CN47 00PI27 11AQ02 17SG14 24TA03 
Th 04 22:50:50 11VI04 17SG17 24VI15 15VI31 03PI23 01VI39 10CN53 00PI25 11AQ01 17SG15 24TA00 
Fr 05 22:54:46 12VI02 01CP14 23VI33 16VI45 03PI09 01VI52 10CN58 00PI23 10AQ59 17SG15 23TA57 
Sa 06 22:58:43 13VI00 15CP03 22VI46 17VI60 02PI54 02VI05 11CN03 00PI20 10AQ58 17SG15 23TA54 
Su 07 23:02:39 13VI58 28CP43 21VI55 19VI14 02PI40 02VI18 11CN08 00PI18 10AQ57 17SG15 23TA51 
Mo 08 23:06:36 14VI57 12AQ14 20VI60 20VI29 02PI27 02VI31 11CN12 00PI16 10AQ55 17SG16 23TA47 
Tu 09 23:10:32 15VI55 25AQ32 20VI01 21VI43 02PI14 02VI44 11CN17 00PI14 10AQ54 17SG16 23TA44 
We 10 23:14:29 16VI53 08PI38 19VI01 22VI58 02PI01 02VI57 11CN22 00PI11 10AQ53 17SG16 23TA41 
Th 11 23:18:26 17VI51 21PI29 18VI01 24VI12 01PI49 03VI10 11CN27 00PI09 10AQ52 17SG17 23TA38 
Fr 12 23:22:22 18VI50 04AR05 17VI02 25VI27 01PI37 03VI23 11CN31 00PI07 10AQ50 17SG17 23TA35 
Sa 13 23:26:19 19VI48 16AR26 16VI05 26VI41 01PI27 03VI35 11CN35 00PI05 10AQ49 17SG18 23TA32 
Su 14 23:30:15 20VI47 28AR34 15VI11 27VI56 01PI16 03VI48 11CN40 00PI02 10AQ48 17SG18 23TA28 
Mo 15 23:34:12 21VI45 10TA32 14VI23 29VI10 01PI07 04VI01 11CN44 00PI00 10AQ47 17SG19 23TA25 
Tu 16 23:38:08 22VI43 22TA22 13VI41 00LI25 00PI58 04VI14 11CN48 29AQ58 10AQ46 17SG19 23TA22 
We 17 23:42:05 23VI42 04GE09 13VI06 01LI39 00PI49 04VI26 11CN52 29AQ56 10AQ45 17SG20 23TA19 
Th 18 23:46:01 24VI40 15GE58 12VI39 02LI54 00PI42 04VI39 11CN56 29AQ54 10AQ44 17SG21 23TA16 
Fr 19 23:49:58 25VI39 27GE55 12VI21 04LI09 00PI35 04VI52 12CN00 29AQ52 10AQ43 17SG21 23TA12 
Sa 20 23:53:55 26VI38 10CN05 12VI13 05LI23 00PI29 05VI04 12CN04 29AQ50 10AQ42 17SG22 23TA09 
Su 21 23:57:51 27VI36 22CN32 12VI14 06LI38 00PI23 05VI17 12CN08 29AQ48 10AQ41 17SG23 23TA06 
Mo 22 00:01:48 28VI35 05LE21 12VI25 07LI52 00PI19 05VI29 12CN12 29AQ46 10AQ40 17SG23 23TA03 
Tu 23 00:05:44 29VI34 18LE36 12VI46 09LI07 00PI15 05VI42 12CN15 29AQ44 10AQ39 17SG24 22TA60 
We 24 00:09:41 00LI32 02VI15 13VI16 10LI22 00PI12 05VI54 12CN19 29AQ42 10AQ38 17SG25 22TA57 
Th 25 00:13:37 01LI31 16VI19 13VI55 11LI36 00PI09 06VI07 12CN22 29AQ40 10AQ37 17SG26 22TA53 
Fr 26 00:17:34 02LI30 00LI42 14VI43 12LI51 00PI08 06VI19 12CN25 29AQ38 10AQ36 17SG27 22TA50 
Sa 27 00:21:30 03LI29 15LI20 15VI39 14LI05 00PI07 06VI32 12CN28 29AQ36 10AQ35 17SG28 22TA47 
Su 28 00:25:27 04LI28 00SC04 16VI42 15LI20 00PI07 06VI44 12CN31 29AQ34 10AQ34 17SG29 22TA44 
Mo 29 00:29:24 05LI26 14SC48 17VI52 16LI35 00PI08 06VI56 12CN34 29AQ32 10AQ34 17SG30 22TA41 
Tu 30 00:33:20 06LI25 29SC25 19VI08 17LI49 00PI10 07VI08 12CN37 29AQ31 10AQ33 17SG31 22TA38 
                                         OCTOBER 2003 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
We 01 00:37:17 07LI24 13SG50 20VI29 19LI04 00PI13 07VI20 12CN40 29AQ29 10AQ32 17SG32 22TA34 
Th 02 00:41:13 08LI23 28SG02 21VI55 20LI19 00PI16 07VI33 12CN43 29AQ27 10AQ31 17SG33 22TA31 
Fr 03 00:45:10 09LI22 11CP57 23VI25 21LI33 00PI20 07VI45 12CN45 29AQ25 10AQ31 17SG34 22TA28 
Sa 04 00:49:06 10LI21 25CP38 24VI58 22LI48 00PI25 07VI57 12CN48 29AQ24 10AQ30 17SG35 22TA25 
Su 05 00:53:03 11LI21 09AQ03 26VI35 24LI03 00PI31 08VI09 12CN50 29AQ22 10AQ30 17SG36 22TA22 
Mo 06 00:56:59 12LI20 22AQ14 28VI13 25LI17 00PI37 08VI20 12CN52 29AQ21 10AQ29 17SG37 22TA18 
Tu 07 01:00:56 13LI19 05PI11 29VI54 26LI32 00PI45 08VI32 12CN54 29AQ19 10AQ28 17SG38 22TA15 
